day,date,spot_price,mark_price,theoretical_price,payoff,delta,gamma,theta,vega,net_position,hedge_position,funding_rate,funding_payment,cumulative_funding,cumulative_fees,cumulative_hedge_pnl,mtm_pnl,lp_equity,lp_pnl,daily_pnl
40,2024-02-10,2857.9979043397766,90.70164793694336,90.70165329381815,0.0,0.3582595622270378,0.001110247990732073,-8.078454710936553,1.7051650429336507,-702.094679500384,-125.76606625987,90.70164793694336,-63681.14443844487,-1469084.5642955943,2456.713866780879,129290.83672015746,0.0,-337337.01370865596,-1337337.013708656,-69181.62859764718
41,2024-02-11,2805.24488763892,73.29601541609581,73.29602056217041,0.0,0.3026351633922491,0.0009964850958903758,-6.98120512139736,1.578861081022279,-667.0434341588311,-100.93539934319242,73.29601541609581,-48891.62583331112,-1517976.1901289055,2470.9273668484666,135925.37611396544,0.0,-379579.8866480915,-1379579.8866480915,-42242.87293943553
42,2024-02-12,2640.29821921568,35.28434972880511,35.28435208242465,0.0,0.1678263791787567,0.0006499269631172532,-4.028034993841267,1.1091790047165477,-641.5274819221714,-53.832617217331666,35.28434972880511,-22635.88003278151,-1540612.070161687,2476.99454181137,152574.3339615943,0.0,-385560.7416582813,-1385560.7416582813,-5980.8550101898145
43,2024-02-13,2577.7112818713895,25.979428160635038,25.979429827286857,0.0,0.13067050952689876,0.0005393916042597982,-3.1847535647170298,0.930074414626334,-589.5801202969717,-38.52036736306778,25.979428160635038,-15316.954380193725,-1555929.0245418807,2480.7412741880407,155943.5526024546,0.0,-397504.7306652381,-1397504.730665238,-11943.989006956806
44,2024-02-14,2640.0423178444403,35.24142427929961,35.24142635706405,0.0,0.1676601229182971,0.0006494507147042559,-4.024294795316788,1.108432621295444,-628.3610916687728,-52.6755489331309,35.24142427929961,-22144.339832103113,-1578073.3643739838,2487.674175095054,153542.5381986521,0.0,-422043.1520002368,-1422043.1520002368,-24538.421334998682
45,2024-02-15,2729.157329726698,52.98891726516945,52.98892059478705,0.0,0.23329266049715033,0.0008276942416851737,-5.484816185731555,1.3690136785758684,-729.8518770659215,-85.13454308477397,52.98891726516945,-38674.06072967476,-1616747.4251036586,2500.383538117492,148848.35602957167,0.0,-465398.68553596945,-1465398.6855359694,-43355.533535732655
46,2024-02-16,2670.661910709182,40.68857321501265,40.68857618467602,0.0,0.18843309017669854,0.000707877346461092,-4.48978675642623,1.1981309723774642,-968.6081237215005,-91.25891096154814,40.68857321501265,-39411.28255869821,-1656158.7076623568,2510.3322592818236,153828.3368001803,0.0,-499820.03860289464,-1499820.0386028946,-34421.35306692519
47,2024-02-17,2452.133280999315,13.30305562147382,13.30305691001872,0.0,0.0751078233079865,0.0003535378745177745,-1.8871293418846593,0.6086340025397319,-1009.9045451902996,-37.92586606904275,13.30305562147382,-13434.816337045748,-1669593.5239994025,2512.987992475148,173771.02156142215,0.0,-493309.51444550534,-1493309.5144455053,6510.5241573893
48,2024-02-18,2148.3332564466873,1.8094205717395,1.8094207544737244,0.0,0.013784091627470376,9.073735551640234e-05,-0.3709612230850189,0.14152289653079558,-1083.0926104888138,-7.464723892006944,1.8094205717395,-1959.7700505175162,-1671553.29404992,2513.3289276808837,185292.900604377,0.0,-483747.06451786216,-1483747.0645178622,9562.449927643174
49,2024-02-19,2142.934552636914,1.736313789794916,1.7363139778537997,0.0,0.01330136284589991,8.810377118804082e-05,-0.3583735282333409,0.13703558296575413,-1185.9479485385207,-7.887361989930748,1.736313789794916,-2059.1777770263143,-1673612.4718269464,2513.660023387683,185333.2004376917,0.0,-485765.61136586685,-1485765.6113658668,-2018.5468480046839
50,2024-02-20,2043.761442375331,0.7796782562482327,0.7796783487140265,0.0,0.0066310839589407925,4.9291307065560194e-05,-0.18225410591841443,0.07246262100026253,-1126.7852836487536,-3.7359039097869005,0.7796782562482327,-878.5299851214513,-1674491.0018120678,2513.7900388721264,186115.4146579921,0.0,-485861.7971152037,-1485861.7971152037,-96.18574933684431
51,2024-02-21,1947.5672507069237,0.3291829018753821,0.3291829389672312,0.0,0.003108886287353914,2.591948545913747e-05,-0.0869766156219959,0.035726026137089396,-1068.9080441190224,-1.6615567804019609,0.3291829018753821,-351.8662518011406,-1674842.868063869,2513.844702500739,186474.78691474488,0.0,-485854.2364466232,-1485854.2364466232,7.560668580466881
52,2024-02-22,2031.1340179686792,0.699772673657247,0.699772748456519,0.0,0.006032742246405113,4.551667863326701e-05,-0.166211106478103,0.06638556828955006,-1057.6403487714251,-3.1902358067680074,0.699772673657247,-740.1078146274667,-1675582.9758784964,2514.02158332679,186335.93598598483,0.0,-486733.0183091848,-1486733.0183091848,-878.781862561591
53,2024-02-23,2075.3978026175014,1.0158200506954416,1.0158201581326802,0.0,0.008352970290987891,5.982875275368593e-05,-0.22816345430383345,0.08965169716079611,-1066.1051106757734,-4.452572158272546,1.0158200506954416,-1082.970947573427,-1676665.9468260698,2514.240323151363,186194.7240752551,0.0,-487956.98242766317,-1487956.9824276632,-1223.964118478354
54,2024-02-24,2013.5034023723056,0.6002271256295332,0.6002271896200606,0.0,0.005273963438513994,4.06314436606799e-05,-0.14579137756385407,0.05859259089531295,-952.1472083815648,-2.510794782543769,0.6002271256295332,-571.5045820630621,-1677237.451408133,2514.3801310175495,186470.31335853983,0.0,-488252.7579185753,-1488252.7579185753,-295.77549091214314
55,2024-02-25,2020.1602977742148,0.6362487592289813,0.6362488198092351,0.0,0.005550377341077841,4.242465790951199e-05,-0.15324020826127627,0.061443181664470006,-923.1419693411486,-2.561893134614543,0.6362487592289813,-587.3479325855151,-1677824.7993407184,2514.5256587554627,186453.5992602968,0.0,-488856.6744216662,-1488856.6744216662,-603.9165030908771
56,2024-02-26,2043.3044575458864,0.7766531142225944,0.7766531859187096,0.0,0.0066085907517602705,4.9150556866589206e-05,-0.18165190096672182,0.0722351995643011,-897.5105500293471,-2.9656399602656083,0.7766531142225944,-697.0543637280352,-1678521.8537044465,2514.667520563251,186394.3063962713,0.0,-489612.8797876118,-1489612.8797876118,-756.2053659455851
57,2024-02-27,2214.343751923005,2.9422997869681926,2.9423000510427264,0.0,0.020949064362282426,0.0001279297730173033,-0.5558959769767572,0.20585459079767665,-679.3627824795581,-7.116007327751769,2.9422997869681926,-1998.8889701636508,-1680520.74267461,2515.339713768547,185887.0654300909,0.0,-492118.33753075055,-1492118.3375307505,-2505.4577431387734
58,2024-02-28,2102.3217866418686,1.2636039404716488,1.2636040263162036,0.0,0.010099316256288644,7.010484613936266e-05,-0.274381537234001,0.10668543845893566,-555.707636075002,-2.806133581378001,1.2636039404716488,-702.1943586945999,-1681222.9370333047,2515.635412856181,186684.2145559006,0.0,-492023.08706454793,-1492023.087064548,95.25046620261855
59,2024-02-29,2125.0489224342114,1.5120510740865343,1.512051158112372,0.0,0.011800847211847158,7.979047338709656e-05,-0.31912550479511925,0.12294466773459306,-560.7613997673648,-3.308729800478108,1.5120510740865343,-847.8998768245801,-1682070.8369101293,2515.9379488731474,186620.4391769452,0.0,-492934.459784311,-1492934.459784311,-911.3727197630797
